quarter,level_1,level_2,value
2012-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2420
2012-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13707
2012-Q2,All Types Private Residential Properties Available,Available Landed Properties,70277
2012-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,202773
2012-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2277
2012-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13838
2012-Q3,All Types Private Residential Properties Available,Available Landed Properties,70338
2012-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,206008
2012-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2679
2012-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,14198
2012-Q4,All Types Private Residential Properties Available,Available Landed Properties,70388
2012-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,207232
2012-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2285
2012-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12584
2013-Q1,All Types Private Residential Properties Available,Available Landed Properties,70578
2013-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,209246
2013-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2327
2013-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,12205
2013-Q2,All Types Private Residential Properties Available,Available Landed Properties,70605
2013-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,211923
2013-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2386
2013-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,13447
2013-Q3,All Types Private Residential Properties Available,Available Landed Properties,70725
2013-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,215281
2013-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2379
2013-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,15080
2013-Q4,All Types Private Residential Properties Available,Available Landed Properties,71049
2013-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,218321
2013-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2439
2013-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,15564
2014-Q1,All Types Private Residential Properties Available,Available Landed Properties,71125
2014-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,222158
2014-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2366
2014-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,16918
2014-Q2,All Types Private Residential Properties Available,Available Landed Properties,71311
2014-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,226687
2014-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2507
2014-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,18761
2014-Q3,All Types Private Residential Properties Available,Available Landed Properties,71471
2014-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,231039
2014-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2509
2014-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,19060
2014-Q4,All Types Private Residential Properties Available,Available Landed Properties,71540
2014-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,237274
2014-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2406
2014-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,21656
2015-Q1,All Types Private Residential Properties Available,Available Landed Properties,71655
2015-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,239980
2015-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2447
2015-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,19899
2015-Q2,All Types Private Residential Properties Available,Available Landed Properties,71699
2015-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,246825
2015-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2274
2015-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,22797
2015-Q3,All Types Private Residential Properties Available,Available Landed Properties,71826
2015-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,250323
2015-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2393
2015-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,22776
2015-Q4,All Types Private Residential Properties Available,Available Landed Properties,71992
2015-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,255456
2015-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,2553
2015-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,23964
2016-Q1,All Types Private Residential Properties Available,Available Landed Properties,72205
2016-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,258098
2016-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,2458
2016-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,22461
2016-Q2,All Types Private Residential Properties Available,Available Landed Properties,72365
2016-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,266363
2016-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2605
2016-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,27705
2016-Q3,All Types Private Residential Properties Available,Available Landed Properties,72501
2016-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,271146
2016-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,2685
2016-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,27151
2016-Q4,All Types Private Residential Properties Available,Available Landed Properties,72595
2016-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,275485
2016-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3008
2016-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,26189
2017-Q1,All Types Private Residential Properties Available,Available Landed Properties,72682
2017-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,279628
2017-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3022
2017-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,25420
2017-Q2,All Types Private Residential Properties Available,Available Landed Properties,72747
2017-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,283369
2017-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3237
2017-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,25651
2017-Q3,All Types Private Residential Properties Available,Available Landed Properties,72748
2017-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,287342
2017-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3498
2017-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,26638
2017-Q4,All Types Private Residential Properties Available,Available Landed Properties,72761
2017-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,291534
2017-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3190
2017-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,25370
2018-Q1,All Types Private Residential Properties Available,Available Landed Properties,72887
2018-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,292704
2018-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3406
2018-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,23500
2018-Q2,All Types Private Residential Properties Available,Available Landed Properties,73150
2018-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,293593
2018-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3673
2018-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,22391
2018-Q3,All Types Private Residential Properties Available,Available Landed Properties,73119
2018-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,293707
2018-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3645
2018-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,21460
2018-Q4,All Types Private Residential Properties Available,Available Landed Properties,73139
2018-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,296852
2018-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,3317
2018-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,20279
2019-Q1,All Types Private Residential Properties Available,Available Landed Properties,73105
2019-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,297839
2019-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3279
2019-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,20078
2019-Q2,All Types Private Residential Properties Available,Available Landed Properties,73256
2019-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,298551
2019-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,3561
2019-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,20075
2019-Q3,All Types Private Residential Properties Available,Available Landed Properties,73346
2019-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,298739
2019-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,3746
2019-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,19073
