quarter,level_1,level_2,value
1993-Q3,All Types Private Residential Properties Available,Available Landed Properties,23089
1993-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,47260
1993-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,1618
1993-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4105
1993-Q4,All Types Private Residential Properties Available,Available Landed Properties,23371
1993-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,47928
1993-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,1273
1993-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,3765
1994-Q1,All Types Private Residential Properties Available,Available Landed Properties,23720
1994-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,48605
1994-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,1240
1994-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,3536
1994-Q2,All Types Private Residential Properties Available,Available Landed Properties,24095
1994-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,49932
1994-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,1202
1994-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,3581
1994-Q3,All Types Private Residential Properties Available,Available Landed Properties,24287
1994-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,51621
1994-Q3,All Types Private Residential Properties Vacant,Vacant Landed Properties,1060
1994-Q3,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4476
1994-Q4,All Types Private Residential Properties Available,Available Landed Properties,24583
1994-Q4,All Types Private Residential Properties Available,Available Non-landed Properties,53429
1994-Q4,All Types Private Residential Properties Vacant,Vacant Landed Properties,1333
1994-Q4,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4155
1995-Q1,All Types Private Residential Properties Available,Available Landed Properties,58955
1995-Q1,All Types Private Residential Properties Available,Available Non-landed Properties,65383
1995-Q1,All Types Private Residential Properties Vacant,Vacant Landed Properties,3069
1995-Q1,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4242
1995-Q2,All Types Private Residential Properties Available,Available Landed Properties,58981
1995-Q2,All Types Private Residential Properties Available,Available Non-landed Properties,66457
1995-Q2,All Types Private Residential Properties Vacant,Vacant Landed Properties,2667
1995-Q2,All Types Private Residential Properties Vacant,Vacant Non-landed Properties,4884
1995-Q3,All Types Private Residential Properties Available,Available Landed Properties,59511
1995-Q3,All Types Private Residential Properties Available,Available Non-landed Properties,67676
